_3Com,1,"Ethernet Type 3Com"
_3Com_Corp,2,"Ethernet Type 3Com_Corp"
_3Com_NBP,3,"Ethernet Type 3Com_NBP"
_802_1aq,4,"Ethernet Type 802_1aq"
_802_1q,5,"Ethernet Type 802_1q"
AARP,6,"Ethernet Type AARP"
Accton,7,"Ethernet Type Accton"
Aeonic,8,"Ethernet Type Aeonic"
Allen_Bradley,9,"Ethernet Type Allen_Bradley"
Apollo,10,"Ethernet Type Apollo"
Applitek,11,"Ethernet Type Applitek"
ARP,12,"Ethernet Type ARP"
Art_Horiz,13,"Ethernet Type Art_Horiz"
Artisoft,14,"Ethernet Type Artisoft"
ATA_Ether,15,"Ethernet Type ATA_Ether"
ATnT,16,"Ethernet Type ATnT"
Autophon,18,"Ethernet Type Autophon"
Axis_Comm,19,"Ethernet Type Axis_Comm"
Banyan,20,"Ethernet Type Banyan"
Banyon,21,"Ethernet Type Banyon"
BBN,22,"Ethernet Type BBN"
Cabletron,24,"Ethernet Type Cabletron"
CFM,25,"Ethernet Type CFM"
CHAOSnet,26,"Ethernet Type CHAOSnet"
Chronus_Dir,27,"Ethernet Type Chronus_Dir"
Chronus_VLN,28,"Ethernet Type Chronus_VLN"
CobraNet,29,"Ethernet Type CobraNet"
ComDesign,30,"Ethernet Type ComDesign"
Comugrahic,31,"Ethernet Type Comugrahic"
Control_Tech,32,"Ethernet Type Control_Tech"
Counterpoint,33,"Ethernet Type Counterpoint"
Dansk,34,"Ethernet Type Dansk"
Datability,35,"Ethernet Type Datability"
DCA,36,"Ethernet Type DCA"
DEC,37,"Ethernet Type DEC"
DECNET,38,"Ethernet Type DECNET"
EAP_LAN,39,"Ethernet Type EAP_LAN"
ECMA,40,"Ethernet Type ECMA"
EherCAT,41,"Ethernet Type EherCAT"
Eth_Config_Test,42,"Ethernet Type Eth_Config_Test"
EtherFlowControl,43,"Ethernet Type EtherFlowControl"
Ethertalk,44,"Ethernet Type Ethertalk"
Eth_PwrLnk,45,"Ethernet Type Eth_PwrLnk"
Excelan,47,"Ethernet Type Excelan"
ExperData,48,"Ethernet Type ExperData"
FCoE,49,"Ethernet Type FCoE"
FCoE_Init,50,"Ethernet Type FCoE_Init"
Gen_Dyn,51,"Ethernet Type Gen_Dyn"
Harris,52,"Ethernet Type Harris"
Hitachi,53,"Ethernet Type Hitachi"
HomePlug,54,"Ethernet Type HomePlug"
HP_LanProbe,55,"Ethernet Type HP_LanProbe"
HP_Probe,56,"Ethernet Type HP_Probe"
HSR,57,"Ethernet Type HSR"
HyperSCSI,58,"Ethernet Type HyperSCSI"
IBM_SNA,59,"Ethernet Type IBM_SNA"
IDP,60,"Ethernet Type IDP"
IMLB_LAN,61,"Ethernet Type IMLB_LAN"
Intergraph,62,"Ethernet Type Intergraph"
IPv4,63,"Ethernet Type IPv4"
IPv6,64,"Ethernet Type IPv6"
IPX,65,"Ethernet Type IPX"
Jumbo,66,"Ethernet Type Jumbo"
Kalpana,67,"Ethernet Type Kalpana"
Kinetics,68,"Ethernet Type Kinetics"
KTI,69,"Ethernet Type KTI"
Landmark,70,"Ethernet Type Landmark"
Little_Machines,71,"Ethernet Type Little_Machines"
LLDP,72,"Ethernet Type LLDP"
LLT,73,"Ethernet Type LLT"
LRT,74,"Ethernet Type LRT"
MAC_Security,75,"Ethernet Type MAC_Security"
Matra,76,"Ethernet Type Matra"
MediaRedund,77,"Ethernet Type MediaRedund"
Merit,78,"Ethernet Type Merit"
MPLS_Multi,80,"Ethernet Type MPLS_Multi"
MPLS_Uni,81,"Ethernet Type MPLS_Uni"
NBS,82,"Ethernet Type NBS"
Nestar,83,"Ethernet Type Nestar"
Nixdorf,84,"Ethernet Type Nixdorf"
Pacer,86,"Ethernet Type Pacer"
PCS,87,"Ethernet Type PCS"
PowerLAN,88,"Ethernet Type PowerLAN"
PPPoE_Disc,89,"Ethernet Type PPPoE_Disc"
PPPoE_Sess,90,"Ethernet Type PPPoE_Sess"
PRC,91,"Ethernet Type PRC"
PrecisionTime,92,"Ethernet Type PrecisionTime"
Prime_NTS,93,"Ethernet Type Prime_NTS"
PROFINET,94,"Ethernet Type PROFINET"
PUP,95,"Ethernet Type PUP"
QNX,96,"Ethernet Type QNX"
RARP,98,"Ethernet Type RARP"
RCL,99,"Ethernet Type RCL"
Retix,100,"Ethernet Type Retix"
RoCE,101,"Ethernet Type RoCE"
Rosemount,102,"Ethernet Type Rosemount"
SERCOS_III,103,"Ethernet Type SERCOS_III"
Siemens,104,"Ethernet Type Siemens"
Silicon_Graphics,105,"Ethernet Type Silicon_Graphics"
Slow_Protocols,106,"Ethernet Type Slow_Protocols"
SNMP,107,"Ethernet Type SNMP"
Sonix,108,"Ethernet Type Sonix"
Spider,109,"Ethernet Type Spider"
Stanford,110,"Ethernet Type Stanford"
Symbolics,111,"Ethernet Type Symbolics"
Talaris,112,"Ethernet Type Talaris"
Taylor,113,"Ethernet Type Taylor"
Tech_Elite,114,"Ethernet Type Tech_Elite"
THD,115,"Ethernet Type THD"
Tigan,116,"Ethernet Type Tigan"
TRFS,117,"Ethernet Type TRFS"
Tymshare,118,"Ethernet Type Tymshare"
UB_Bridge,119,"Ethernet Type UB_Bridge"
UB_db,120,"Ethernet Type UB_db"
UB_Diag,121,"Ethernet Type UB_Diag"
UB_Down,122,"Ethernet Type UB_Down"
UB_NIU,123,"Ethernet Type UB_NIU"
UB_UNKNOWN,124,"Ethernet Type UB_UNKNOWN"
U_Mass,125,"Ethernet Type U_Mass"
VALID,126,"Ethernet Type VALID"
Varian,127,"Ethernet Type Varian"
Veeco,128,"Ethernet Type Veeco"
VG_Lab,129,"Ethernet Type VG_Lab"
Vitalink,130,"Ethernet Type Vitalink"
VLAN,131,"Ethernet Type VLAN"
VMTP,132,"Ethernet Type VMTP"
Vrie,133,"Ethernet Type Vrie"
Vrije,134,"Ethernet Type Vrije"
Waterloo,135,"Ethernet Type Waterloo"
Wellfleet,136,"Ethernet Type Wellfleet"
X_25,137,"Ethernet Type X_25"
X_75,138,"Ethernet Type X_75"
XNS,139,"Ethernet Type XNS"
XTP,140,"Ethernet Type XTP"
Xyplex,141,"Ethernet Type Xyplex"
sp,142,"ISO 8327-1/X.225 OSI Session Protocol (SP)."
apple_siri,143,"Advanced voice recognition system used on some Apple iPhone devices."
aris,144,"The ARIS protocol (ARIS) is found over the IP layer (IANA protocol number: 104)."
tianya,145,"This protocol plug-in classifies the http traffic to the host tianya.cn."
msn,146,"The MSN protocol allows the exchange of instant messages. The MSN protocol is used by the Microsoft software Microsoft Messenger"
hpellc,147,"HP Extended Local-Link Control is an LLC protocol enhancement. It is HP proprietary."
zimbra,148,"Zimbra provides open source server and client software for messaging and collaboration."
rip1,149,"RIP1 (Routing Information Protocol Version 1) is a Distance Vector routing protocol used in Inter Autonomous Systems."
qqlive,150,"QQLive is an application intended to watch TV in Peer-to-Peer mode."
cafemom,151,"This protocol plug-in classifies the http traffic to the host cafemom.com."
sat_expak,152,"The SAT_EXPAK protocol (SATNET and Backroom EXPAK) is found over the IP layer (IANA protocol number: 64)."
google_appengine,153,"Google App Engine is a platform as a service (PaaS) cloud computing platform for developing and hosting web applications in Google-managed data centers."
campfire,154,"This protocol plug-in classifies the http traffic to the host campfirenow.com. It also classifies the ssl traffic to the Common Name campfirenow.com."
liveinternet,155,"This protocol plug-in classifies the http traffic to the host liveinternet.ru."
yahoo_buy,156,"Yahoo Taiwanese Shopping portal."
skype,157,"Skype is a widely used voice over IP protocol."
cellufun,158,"This protocol plug-in classifies the http traffic to the host m.cellufun.com."
_360buy,159,"This protocol plug-in classifies the http traffic to the host 360buy.com."
xvideos,160,"This protocol plug-in classifies the http traffic to the host xvideos.com."
adobe_meeting_rc,161,"This protocol plug-in classifies the http traffic to the hosts connectpro97286496.emea.acrobat.com"
linkedin,162,"LinkedIn is professional social network."
https,163,"HTTPS is the secure version of HTTP."
google_translate,164,"Google Translate is the Google translation tool."
nfs,165,"The NFS protocol provides transparent remote access to shared file systems across networks as described in RFC 1813."
cgiproxy,166,"CGIProxy is a proxy software package. A CGI (Common Gateway Interface) Proxy is a proxy that appears as a web page allowing the user access to all sites through it."
sua,167,"This protocol defines the transport of SCCP signalization over an IP network through SCTP."
soribada,168,"This protocol plug-in classifies the http traffic to the host kpop.soribada.com."
radiko,169,"Broadband broadcasts web retransmission services."
leaf_1,170,"The LEAF_1 protocol (Leaf 1) is found over the IP layer (IANA protocol number: 25)."
netload,171,"This protocol plug-in classifies the http traffic to the host netload.in."
mapquest,172,"This protocol plug-in classifies the http traffic to the hosts mapquest.com and mapquest.fr."
sohu,173,"This protocol plug-in classifies the http traffic to the hosts itc.cn and sohu.com."
eyejot,174,"This protocol plug-in classifies the http traffic to the hosts eyejot.com"
zoho_show,175,"Zoho Show application classification."
yoka,176,"Chinese fashion portal."
udplite,177,"The UDPLITE protocol (Connectionless protocol very similar to UDP) is found over the IP layer (IANA protocol number: 136)."
hmp,178,"The HMP protocol (Host Monitoring) is found over the IP layer (IANA protocol number: 20)."
nfl,179,"This protocol plug-in classifies the http traffic to the host nfl.com."
college_blender,180,"This protocol plug-in classifies the http traffic to the host collegeblender.com."
wandoujia,181,"Chinese mobile (Android) applications."
zoo,182,"This protocol plug-in classifies the http traffic to the host zoo.gr."
appchina,183,"Chinese Android application market."
file_host,184,"This protocol plug-in classifies the http traffic to the host filehost.ro."
